"楼栋","房号","幢号","套内面积","建筑面积","得房率","楼层","用途","总价","户型","销售状态","均价套内","均价建筑","无房户","isRoomless"
"春月金沙府1幢11号1001","1001","1幢","109.61","136.66","80%","10层","住宅","4905307","4室2厅1厨2卫","未网签","44752","35894","是",true
"春月金沙府1幢11号1002","1002","1幢","87.53","109.13","80%","10层","住宅","4114485","3室2厅1厨2卫","未网签","47007","37703","是",true
"春月金沙府1幢11号1003","1003","1幢","109.70","136.78","80%","10层","住宅","5044955","4室2厅1厨2卫","未网签","45989","36884","是",true
"春月金沙府1幢11号1101","1101","1幢","109.61","136.66","80%","11层","住宅","4928621","4室2厅1厨2卫","未网签","44965","36065","是",true
"春月金沙府1幢11号1102","1102","1幢","87.53","109.13","80%","11层","住宅","4133102","3室2厅1厨2卫","未网签","47219","37873","是",true
"春月金沙府1幢11号1103","1103","1幢","109.70","136.78","80%","11层","住宅","5068290","4室2厅1厨2卫","未网签","46201","37054","否",false
"春月金沙府1幢11号1201","1201","1幢","109.61","136.66","80%","12层","住宅","4788736","4室2厅1厨2卫","未网签","43689","35041","是",true
"春月金沙府1幢11号1202","1202","1幢","87.53","109.13","80%","12层","住宅","4021397","3室2厅1厨2卫","未网签","45943","36850","否",false
"春月金沙府1幢11号1203","1203","1幢","109.70","136.78","80%","12层","住宅","4928282","4室2厅1厨2卫","未网签","44925","36031","否",false
"春月金沙府1幢11号201","201","1幢","109.61","136.66","80%","2层","住宅","4354159","4室2厅1厨2卫","未网签","39724","31861","否",false
"春月金沙府1幢11号202","202","1幢","87.53","109.13","80%","2层","住宅","3674365","3室2厅1厨2卫","未网签","41978","33670","是",true
"春月金沙府1幢11号203","203","1幢","109.70","136.78","80%","2层","住宅","4493324","4室2厅1厨2卫","未网签","40960","32851","是",true
"春月金沙府1幢11号301","301","1幢","109.61","136.66","80%","3层","住宅","4627868","4室2厅1厨2卫","未网签","42221","33864","是",true
"春月金沙府1幢11号302","302","1幢","87.53","109.13","80%","3层","住宅","3892936","3室2厅1厨2卫","未网签","44475","35672","是",true
"春月金沙府1幢11号303","303","1幢","109.70","136.78","80%","3层","住宅","4767273","4室2厅1厨2卫","未网签","43457","34854","是",true
"春月金沙府1幢11号401","401","1幢","109.61","136.66","80%","4层","住宅","4765422","4室2厅1厨2卫","未网签","43476","34871","否",false
"春月金沙府1幢11号402","402","1幢","87.53","109.13","80%","4层","住宅","4002779","3室2厅1厨2卫","未网签","45730","36679","是",true
"春月金沙府1幢11号403","403","1幢","109.70","136.78","80%","4层","住宅","4904947","4室2厅1厨2卫","未网签","44712","35860","否",false
"春月金沙府1幢11号501","501","1幢","109.61","136.66","80%","5层","住宅","4788736","4室2厅1厨2卫","未网签","43689","35041","否",false
"春月金沙府1幢11号502","502","1幢","87.53","109.13","80%","5层","住宅","4021397","3室2厅1厨2卫","未网签","45943","36850","是",true
"春月金沙府1幢11号503","503","1幢","109.70","136.78","80%","5层","住宅","4928282","4室2厅1厨2卫","未网签","44925","36031","是",true
"春月金沙府1幢11号601","601","1幢","109.61","136.66","80%","6层","住宅","4812050","4室2厅1厨2卫","未网签","43902","35212","是",true
"春月金沙府1幢11号602","602","1幢","87.53","109.13","80%","6层","住宅","4040014","3室2厅1厨2卫","未网签","46156","37020","否",false
"春月金沙府1幢11号603","603","1幢","109.70","136.78","80%","6层","住宅","4951617","4室2厅1厨2卫","未网签","45138","36201","是",true
"春月金沙府1幢11号701","701","1幢","109.61","136.66","80%","7层","住宅","4835364","4室2厅1厨2卫","未网签","44114","35382","否",false
"春月金沙府1幢11号702","702","1幢","87.53","109.13","80%","7层","住宅","4058632","3室2厅1厨2卫","未网签","46368","37191","否",false
"春月金沙府1幢11号703","703","1幢","109.70","136.78","80%","7层","住宅","4974951","4室2厅1厨2卫","未网签","45351","36372","否",false
"春月金沙府1幢11号801","801","1幢","109.61","136.66","80%","8层","住宅","4858678","4室2厅1厨2卫","未网签","44327","35553","是",true
"春月金沙府1幢11号802","802","1幢","87.53","109.13","80%","8层","住宅","4077250","3室2厅1厨2卫","未网签","46581","37361","否",false
"春月金沙府1幢11号803","803","1幢","109.70","136.78","80%","8层","住宅","4998286","4室2厅1厨2卫","未网签","45563","36543","是",true
"春月金沙府1幢11号901","901","1幢","109.61","136.66","80%","9层","住宅","4881993","4室2厅1厨2卫","未网签","44540","35724","否",false
"春月金沙府1幢11号902","902","1幢","87.53","109.13","80%","9层","住宅","4095867","3室2厅1厨2卫","未网签","46794","37532","是",true
"春月金沙府1幢11号903","903","1幢","109.70","136.78","80%","9层","住宅","5021621","4室2厅1厨2卫","未网签","45776","36713","否",false
"春月金沙府2幢12号1001","1001","2幢","109.61","136.77","80%","10层","住宅","4923255","4室2厅1厨2卫","未网签","44916","35997","是",true
"春月金沙府2幢12号1002","1002","2幢","87.53","109.22","80%","10层","住宅","4129058","3室2厅1厨2卫","未网签","47173","37805","是",true
"春月金沙府2幢12号1003","1003","2幢","109.70","136.88","80%","10层","住宅","5067325","4室2厅1厨2卫","未网签","46193","37020","是",true
"春月金沙府2幢12号1101","1101","2幢","109.61","136.77","80%","11层","住宅","4946588","4室2厅1厨2卫","未网签","45129","36167","否",false
"春月金沙府2幢12号1102","1102","2幢","87.53","109.22","80%","11层","住宅","4147691","3室2厅1厨2卫","未网签","47386","37976","否",false
"春月金沙府2幢12号1103","1103","2幢","109.70","136.88","80%","11层","住宅","5090677","4室2厅1厨2卫","未网签","46405","37191","否",false
"春月金沙府2幢12号1201","1201","2幢","109.61","136.77","80%","12层","住宅","4806590","4室2厅1厨2卫","未网签","43852","35144","是",true
"春月金沙府2幢12号1202","1202","2幢","87.53","109.22","80%","12层","住宅","4035893","3室2厅1厨2卫","未网签","46109","36952","否",false
"春月金沙府2幢12号1203","1203","2幢","109.70","136.88","80%","12层","住宅","4950566","4室2厅1厨2卫","未网签","45128","36167","否",false
"春月金沙府2幢12号201","201","2幢","109.61","136.77","80%","2层","住宅","4371664","4室2厅1厨2卫","未网签","39884","31964","否",false
"春月金沙府2幢12号202","202","2幢","87.53","109.22","80%","2层","住宅","3688575","3室2厅1厨2卫","未网签","42141","33772","否",false
"春月金沙府2幢12号203","203","2幢","109.70","136.88","80%","2层","住宅","4515290","4室2厅1厨2卫","未网签","41160","32987","否",false
"春月金沙府2幢12号301","301","2幢","109.61","136.77","80%","3层","住宅","4645593","4室2厅1厨2卫","未网签","42383","33966","是",true
"春月金沙府2幢12号302","302","2幢","87.53","109.22","80%","3层","住宅","3907326","3室2厅1厨2卫","未网签","44640","35775","是",true
"春月金沙府2幢12号303","303","2幢","109.70","136.88","80%","3层","住宅","4789439","4室2厅1厨2卫","未网签","43659","34990","是",true
"春月金沙府2幢12号401","401","2幢","109.61","136.77","80%","4层","住宅","4783257","4室2厅1厨2卫","未网签","43639","34973","否",false
"春月金沙府2幢12号402","402","2幢","87.53","109.22","80%","4层","住宅","4017260","3室2厅1厨2卫","未网签","45896","36781","否",false
"春月金沙府2幢12号403","403","2幢","109.70","136.88","80%","4层","住宅","4927215","4室2厅1厨2卫","未网签","44915","35997","否",false
"春月金沙府2幢12号501","501","2幢","109.61","136.77","80%","5层","住宅","4806590","4室2厅1厨2卫","未网签","43852","35144","是",true
"春月金沙府2幢12号502","502","2幢","87.53","109.22","80%","5层","住宅","4035893","3室2厅1厨2卫","未网签","46109","36952","否",false
"春月金沙府2幢12号503","503","2幢","109.70","136.88","80%","5层","住宅","4950566","4室2厅1厨2卫","未网签","45128","36167","是",true
"春月金沙府2幢12号601","601","2幢","109.61","136.77","80%","6层","住宅","4829923","4室2厅1厨2卫","未网签","44065","35314","是",true
"春月金沙府2幢12号602","602","2幢","87.53","109.22","80%","6层","住宅","4054526","3室2厅1厨2卫","未网签","46322","37123","否",false
"春月金沙府2幢12号603","603","2幢","109.70","136.88","80%","6层","住宅","4973918","4室2厅1厨2卫","未网签","45341","36338","否",false
"春月金沙府2幢12号701","701","2幢","109.61","136.77","80%","7层","住宅","4853256","4室2厅1厨2卫","未网签","44277","35485","是",true
"春月金沙府2幢12号702","702","2幢","87.53","109.22","80%","7层","住宅","4073159","3室2厅1厨2卫","未网签","46534","37293","否",false
"春月金沙府2幢12号703","703","2幢","109.70","136.88","80%","7层","住宅","4997270","4室2厅1厨2卫","未网签","45554","36508","否",false
"春月金沙府2幢12号801","801","2幢","109.61","136.77","80%","8层","住宅","4876589","4室2厅1厨2卫","未网签","44490","35655","否",false
"春月金沙府2幢12号802","802","2幢","87.53","109.22","80%","8层","住宅","4091792","3室2厅1厨2卫","未网签","46747","37464","是",true
"春月金沙府2幢12号803","803","2幢","109.70","136.88","80%","8层","住宅","5020622","4室2厅1厨2卫","未网签","45767","36679","是",true
"春月金沙府2幢12号901","901","2幢","109.61","136.77","80%","9层","住宅","4899922","4室2厅1厨2卫","未网签","44703","35826","是",true
"春月金沙府2幢12号902","902","2幢","87.53","109.22","80%","9层","住宅","4110425","3室2厅1厨2卫","未网签","46960","37634","是",true
"春月金沙府2幢12号903","903","2幢","109.70","136.88","80%","9层","住宅","5043973","4室2厅1厨2卫","未网签","45980","36850","否",false
